go_struct,type_token,field_name,json_key,declared_in,go_type,container,ref_struct,values,applicable,required,required_when,default,default_by,evidence,evidence_ref,deprecated,corpus_count,corpus_prod_count,harness,review,reviewed_hash,description,notes
ExpressionNode,function,Default,default,ExpressionNode,*ExpressionNode,object,ExpressionNode,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:1491,no,0,0,pass,reviewed,ac3b94ebd511,Fallback expression used when the evaluation returns an error.,Fallback expression evaluated when this node's evaluation errors; built for every node (eval_expression.go:204).
ExpressionNode,static_list,Comment,comment,ExpressionNode,string,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:1456,no,0,0,pass,reviewed,9576468816ee,Free text for the reader; ignored by JetStore.,-
ExpressionNode,static_list,Name,name,ExpressionNode,string,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:1457,no,0,0,pass,reviewed,daff8f32f4f0,Name is for the special case CaseEnvExpression,"applicable ruled by Michel 2026-08-16 (applicable review): Name is read only in the CaseEnvExpression context, where it names the env var to set and an empty name is rejected (actions_env_var_evaluator.go); outside that context it is ignored. The corpus attests it on value nodes in addl_env case expressions."
ExpressionNode,static_list,Type,type,ExpressionNode,string,scalar,-,-,yes,yes,-,-,none,builder,jets/compute_pipes/eval_expression.go:265,no,53,53,untestable,reviewed,0da1e8e6544c,"Type is for leaf nodes: select, value, expr_proxy, function",-
ExpressionNode,static_list,Expr,expr,ExpressionNode,string,scalar,-,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:1480,no,0,0,untestable,reviewed,daf69940e045,"Expr is for leaf nodes, the expression to evaluate: - for Type: select, it is the column name to select or substitute with env var substitution if it contains the char '$'. - for Type: value, it is the value to use or substitute with env var substitution if it contains the char '$'.",-
ExpressionNode,static_list,ExprPos,expr_pos,ExpressionNode,*int,scalar,-,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:1481,no,0,0,untestable,reviewed,276ee46eb4c4,"ExprPos is for leaf nodes for Type select, it is the 0-based column position to select, it is an alternative to Expr which is the column name.",-
ExpressionNode,static_list,ExprList,expr_list,ExpressionNode,[]string,array,-,-,yes,yes,-,-,none,builder,jets/compute_pipes/eval_expression.go:341,no,53,53,untestable,reviewed,e52908a5488b,"ExprList is for leaf nodes with multiple values, used for the `in`` operator.",-
ExpressionNode,static_list,MaxEnvVarSubstitution,max_env_var_substitution,ExpressionNode,int,scalar,-,-,yes,no,-,3,builder,builder,jets/compute_pipes/eval_expression.go:346,no,0,0,pass,reviewed,8c004c5bde2e,"MaxEnvVarSubstitution indicates how many loop of env substitution to do for Expr containinng the char '$', default to 3. For non leaf nodes, Op is the operator: and, or, ==, !=, >, >=, <, <=, etc. Special case for type: expr_proxy, it indicates that the expression is a proxy for another expression, the actual expression is specified by one of: - ExprEnvVarProxy: the expression is specified by an env var, the value of the env var is the actual expression as a json string to evaluate. (more to come) Special case for type: function, it indicates that the expression is a function call, the actual function is specified by Expr, and the arguments are specified by Farg. Default value to use when the evaluation returns error",-
ExpressionNode,static_list,AsRdfType,as_rdf_type,ExpressionNode,string,scalar,-,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:1484,no,0,0,untestable,reviewed,3e5aee4f3f86,Casts the leaf value; see CastToRdfType.,applicable ruled by Michel 2026-08-16 (applicable review): the field is not read for this token.
ExpressionNode,static_list,Arg,arg,ExpressionNode,*ExpressionNode,object,ExpressionNode,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:1485,no,0,0,untestable,reviewed,66f300d0cd6d,The operand of a unary operator node.,"Presence would re-dispatch the node: arg, then lhs, is tested before type (eval_expression.go:208)."
ExpressionNode,static_list,Lhs,lhs,ExpressionNode,*ExpressionNode,object,ExpressionNode,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:1486,no,0,0,untestable,reviewed,416811c8f5c4,The left operand of a binary operator node.,"Presence would re-dispatch the node: arg, then lhs, is tested before type (eval_expression.go:208)."
ExpressionNode,static_list,Op,op,ExpressionNode,string,scalar,-,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:1487,no,0,0,untestable,reviewed,33e51f2ca4a4,"The operator of a unary or binary node: and, or, ==, !=, >, >=, <, <=, in, etc.",Read only on operator nodes.
ExpressionNode,static_list,Rhs,rhs,ExpressionNode,*ExpressionNode,object,ExpressionNode,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:1488,no,0,0,untestable,reviewed,83282c658764,The right operand of a binary operator node.,"Presence would re-dispatch the node: arg, then lhs, is tested before type (eval_expression.go:208)."
ExpressionNode,static_list,ExprEnvVarProxy,expr_env_var_proxy,ExpressionNode,string,scalar,-,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:1489,no,0,0,untestable,reviewed,4ca1ecac6ce8,"Env var whose value is the actual expression, as a json string (type expr_proxy).",-
ExpressionNode,static_list,Farg,function_arguments,ExpressionNode,[]ExpressionNode,array,ExpressionNode,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:1490,no,0,0,untestable,reviewed,169a82e49a4a,The arguments of a function call (type function).,-
ExpressionNode,static_list,Default,default,ExpressionNode,*ExpressionNode,object,ExpressionNode,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:1491,no,0,0,pass,reviewed,a6f066bb15e8,Fallback expression used when the evaluation returns an error.,Fallback expression evaluated when this node's evaluation errors; built for every node (eval_expression.go:204).
ConditionalEnvVariable,*,Comment,comment,ConditionalEnvVariable,string,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:591,no,0,0,pass,reviewed,2c2d1db87348,Free text for the reader; ignored by JetStore.,-
ConditionalEnvVariable,*,CaseExpr,case_expr,ConditionalEnvVariable,[]CaseEnvExpression,array,CaseEnvExpression,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:592,no,2,2,pass,reviewed,c6ed8551ecdf,The when-then legs.,-
ConditionalEnvVariable,*,ElseExpr,else_expr,ConditionalEnvVariable,[]*ExpressionNode,array,ExpressionNode,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:593,no,2,2,pass,reviewed,b99d1fcc8217,The assignments applied when no leg matches.,-
CaseEnvExpression,*,Comment,comment,CaseEnvExpression,string,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:596,no,0,0,pass,reviewed,416260ca740e,Free text for the reader; ignored by JetStore.,-
CaseEnvExpression,*,When,when,CaseEnvExpression,ExpressionNode,object,ExpressionNode,-,yes,yes,-,-,none,builder,jets/compute_pipes/actions_env_var_evaluator.go:42,no,2,2,untestable,reviewed,b5b07db2939c,The condition of this case leg.,-
CaseEnvExpression,*,Then,then,CaseEnvExpression,[]*ExpressionNode,array,ExpressionNode,-,yes,no,-,-,none,builder,jets/compute_pipes/actions_env_var_evaluator.go:46,no,2,2,pass,reviewed,f5cb2d4c1d38,The env var assignments applied when the condition holds.,-
PipeSpec,fan_out,Comment,comment,PipeSpec,string,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:554,no,0,0,pass,reviewed,95db27b12440,Free text for the reader; ignored by JetStore.,-
PipeSpec,fan_out,Type,type,PipeSpec,string,scalar,-,-,yes,yes,-,-,none,comment,jets/compute_pipes/pipes_model.go:556,no,217,211,untestable,reviewed,fe7777968266,"The pipe type. Range: fan_out, splitter, merge_files.",-
PipeSpec,fan_out,InputChannel,input_channel,PipeSpec,InputChannelConfig,object,InputChannelConfig,-,yes,yes,-,-,none,validator,jets/compute_pipes/actions_start_common.go:885,no,217,211,pass,reviewed,c8e591eadb73,The channel this pipe reads from.,"Non-pointer: an absent input_channel decodes to the zero struct and the validator then defaults its type to memory. B.7: not enforced by ValidatePipeSpecConfig (an absent channel is defaulted, an empty name never checked); enforced at DAG build where GetInputChannel resolves the name. Corpus unanimous on presence. B.7 follow-up: ValidatePipeSpecConfig now rejects an unnamed or absent input channel (was DAG-build only), verified against all 49 live configs with no verdict change."
PipeSpec,fan_out,SplitterConfig,splitter_config,PipeSpec,*SplitterSpec,object,SplitterSpec,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:558,no,0,0,untestable,reviewed,5f9bf6b87531,Configuration of the splitter pipe type.,"Named for the splitter type; not read by this pipe type. Argument from naming and from 0 occurrences on this token across the live corpus, against 90/90 on PipeSpec/splitter."
PipeSpec,fan_out,MergeFileConfig,merge_file_config,PipeSpec,*MergeFileSpec,object,MergeFileSpec,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:559,no,0,0,untestable,reviewed,a63327aced0b,Configuration of the merge_files pipe type.,-
PipeSpec,fan_out,Apply,apply,PipeSpec,[]TransformationSpec,array,TransformationSpec,-,yes,no,-,-,none,corpus,-,no,217,211,pass,reviewed,14a3fac1e4c4,"The transformations applied to each record, in order.","162/162 in the corpus, but nothing enforces it: a fan_out with no apply is a no-op rather than an error. required=yes would be a guess - the review decides whether to state it as a contract or leave it to the operator."
PipeSpec,fan_out,OutputFile,output_file,PipeSpec,*string,scalar,-,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:561,no,0,0,untestable,reviewed,98af54359ad6,Key of an output_files entry; for merge_files.,-
PipeSpec,merge_files,Comment,comment,PipeSpec,string,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:554,no,0,0,pass,reviewed,878fbebea45e,Free text for the reader; ignored by JetStore.,-
PipeSpec,merge_files,Type,type,PipeSpec,string,scalar,-,-,yes,yes,-,-,none,comment,jets/compute_pipes/pipes_model.go:556,no,18,18,untestable,reviewed,320f1fa87177,"The pipe type. Range: fan_out, splitter, merge_files.",-
PipeSpec,merge_files,InputChannel,input_channel,PipeSpec,InputChannelConfig,object,InputChannelConfig,-,yes,yes,-,-,none,validator,jets/compute_pipes/actions_start_common.go:902,no,18,18,pass,reviewed,5a7cde8c52ce,The channel this pipe reads from.,merge_files must read from a channel of type stage.
PipeSpec,merge_files,SplitterConfig,splitter_config,PipeSpec,*SplitterSpec,object,SplitterSpec,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:558,no,0,0,untestable,reviewed,4dcc15eac7cb,Configuration of the splitter pipe type.,"Named for the splitter type; not read by this pipe type. Argument from naming and from 0 occurrences on this token across the live corpus, against 90/90 on PipeSpec/splitter."
PipeSpec,merge_files,MergeFileConfig,merge_file_config,PipeSpec,*MergeFileSpec,object,MergeFileSpec,-,yes,no,-,-,none,corpus,-,no,3,3,pass,reviewed,2114de4db52c,Configuration of the merge: whether the first partition carries the headers.,3/19 in the live corpus; absent means first_partition_has_headers false.
PipeSpec,merge_files,Apply,apply,PipeSpec,[]TransformationSpec,array,TransformationSpec,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:560,no,0,0,untestable,reviewed,325398d0db30,"The transformations applied to each record, in order.",0/19 across the live corpus. Absence in the corpus is weak evidence (plan 5.2.1) - this row needs pipe_executor_merge_files.go read before it is trusted. Citation added at the sign-off gate 2026-08-16: the merge_files executor concatenates part files and never reads apply; the earlier corpus evidence cited nothing at count 0.
PipeSpec,merge_files,OutputFile,output_file,PipeSpec,*string,scalar,-,-,yes,yes,-,-,none,validator,jets/compute_pipes/actions_start_common.go:908,no,18,18,pass,reviewed,c25b8ef93e50,Key of the output_files entry describing the merged file.,-
PipeSpec,splitter,Comment,comment,PipeSpec,string,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:554,no,0,0,pass,reviewed,b1e381ac5a53,Free text for the reader; ignored by JetStore.,-
PipeSpec,splitter,Type,type,PipeSpec,string,scalar,-,-,yes,yes,-,-,none,comment,jets/compute_pipes/pipes_model.go:556,no,89,89,untestable,reviewed,602fd99de369,The pipe kind. Selects which of the pipe-level config fields apply.,-
PipeSpec,splitter,InputChannel,input_channel,PipeSpec,InputChannelConfig,object,InputChannelConfig,-,yes,yes,-,-,none,validator,jets/compute_pipes/actions_start_common.go:885,no,89,89,pass,reviewed,506575bdfbef,The channel this pipe reads its records from.,"B.7: not enforced by ValidatePipeSpecConfig (an absent channel is defaulted, an empty name never checked); enforced at DAG build where GetInputChannel resolves the name. Corpus unanimous on presence. B.7 follow-up: ValidatePipeSpecConfig now rejects an unnamed or absent input channel (was DAG-build only), verified against all 49 live configs with no verdict change."
PipeSpec,splitter,SplitterConfig,splitter_config,PipeSpec,*SplitterSpec,object,SplitterSpec,-,yes,yes,-,-,none,builder,jets/compute_pipes/pipe_executor_splitter.go:94,no,89,89,untestable,reviewed,4cdf1d2ffc1a,How to split the input records into partitions.,"Required, and the only pipe kind for which it is: 90/90 live. Seven configs under workspaces/*/data/ carry a splitter without one, which is why they are retired - the pipe fails to build on every execution."
PipeSpec,splitter,MergeFileConfig,merge_file_config,PipeSpec,*MergeFileSpec,object,MergeFileSpec,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:559,no,0,0,untestable,reviewed,6173c43b422c,Merge behaviour. Applies to merge_files only.,"Named for the merge_files type; not read by this pipe type. The type comment at pipes_model.go:526 gives the pipe-kind range, and the field belongs to merge_files."
PipeSpec,splitter,Apply,apply,PipeSpec,[]TransformationSpec,array,TransformationSpec,-,yes,no,-,-,none,corpus,-,no,89,89,pass,reviewed,0b7c7f2baa7b,The transformations applied to the records of each partition.,"90/90 in the live corpus, but nothing enforces it: the validator only ranges over Apply, so an empty one is a no-op rather than an error. Same reading as PipeSpec/fan_out.apply."
PipeSpec,splitter,OutputFile,output_file,PipeSpec,*string,scalar,-,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:561,no,0,0,untestable,reviewed,ce54dc8b73d0,Name of the output file entry to write. Applies to merge_files only.,The declaration carries the comment `for merge_files`.
InputChannelConfig,memory,Comment,comment,InputChannelConfig,string,scalar,-,-,yes,no,-,-,none,comment,jets/compute_pipes/pipes_model.go:753,no,0,0,pass,reviewed,25ecb7abedd3,Free text for the reader; ignored by JetStore.,-
InputChannelConfig,memory,BadRowsConfig,bad_rows_config,FileConfig,*BadRowsSpec,object,BadRowsSpec,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:312,no,0,0,untestable,reviewed,98726df7ce19,BadRowsConfig: Specify how to handle bad rows.,"Only used for the main input channel, per the BadRowsSpec comment."
InputChannelConfig,memory,BlankFieldMarkers,blank_field_markers,FileConfig,*BlankFieldMarkersSpec,object,BlankFieldMarkersSpec,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:313,no,0,0,untestable,reviewed,fc46956e50a9,Marker texts treated as blank (null) values.,applicable ruled by Michel 2026-08-16 (applicable review): the token does no file I/O.
InputChannelConfig,memory,Bucket,bucket,FileConfig,string,scalar,-,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:314,no,0,0,untestable,reviewed,814048dd9f5a,S3 bucket holding the file.,applicable ruled by Michel 2026-08-16 (applicable review): the token does no file I/O.
InputChannelConfig,memory,Compression,compression,FileConfig,string,scalar,-,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:315,no,0,0,untestable,reviewed,b3c7ccc8e094,"Compression: none, snappy (parquet: always snappy)",applicable ruled by Michel 2026-08-16 (applicable review): the token does no file I/O.
InputChannelConfig,memory,Delimiter,delimiter,FileConfig,rune,scalar,-,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:316,no,0,0,untestable,reviewed,d65ceb14b94d,"Field delimiter, as a code point (a json number).",applicable ruled by Michel 2026-08-16 (applicable review): the token does no file I/O.
InputChannelConfig,memory,DetectCrAsEol,detect_cr_as_eol,FileConfig,bool,scalar,-,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:317,no,0,0,untestable,reviewed,81765cf915fd,"DetectCrAsEol: Detect if \r is used as eol (format: csv,headerless_csv)",applicable ruled by Michel 2026-08-16 (applicable review): the token does no file I/O.
InputChannelConfig,memory,DetectEncoding,detect_encoding,FileConfig,bool,scalar,-,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:318,no,0,0,untestable,reviewed,74e85f13d56e,DetectEncoding: Detect file encoding (limited) for text file format,applicable ruled by Michel 2026-08-16 (applicable review): the token does no file I/O.
InputChannelConfig,memory,DiscardFileHeaders,discard_file_headers,FileConfig,bool,scalar,-,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:319,no,0,0,untestable,reviewed,4ed1ca763de3,"DiscardFileHeaders: when true, discard the headers from the input file (typically for csv format).",applicable ruled by Michel 2026-08-16 (applicable review): the token does no file I/O.
InputChannelConfig,memory,DomainClass,domain_class,FileConfig,string,scalar,-,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:320,no,0,0,untestable,reviewed,e89c82fc8dbb,Domain class of the records.,applicable ruled by Michel 2026-08-16 (applicable review): the token does no file I/O.
InputChannelConfig,memory,DomainKeys,domain_keys,FileConfig,map[string]any,map,-,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:321,no,0,0,untestable,reviewed,47b06858a39e,Domain key configuration for the records.,applicable ruled by Michel 2026-08-16 (applicable review): the token does no file I/O.
InputChannelConfig,memory,DropExcedentHeaders,drop_excedent_headers,FileConfig,bool,scalar,-,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:322,no,0,0,untestable,reviewed,e9ba787d8a18,Drop headers beyond the configured columns.,applicable ruled by Michel 2026-08-16 (applicable review): the token does no file I/O.
InputChannelConfig,memory,Encoding,encoding,FileConfig,string,scalar,-,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:323,no,0,0,untestable,reviewed,f1739b3e03e0,Character encoding of the file.,applicable ruled by Michel 2026-08-16 (applicable review): the token does no file I/O.
InputChannelConfig,memory,EnforceRowMaxLength,enforce_row_max_length,FileConfig,bool,scalar,-,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:324,no,0,0,untestable,reviewed,c8a92fecbef6,Fail rows with extra characters past the last field (text formats).,applicable ruled by Michel 2026-08-16 (applicable review): the token does no file I/O.
InputChannelConfig,memory,EnforceRowMinLength,enforce_row_min_length,FileConfig,bool,scalar,-,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:325,no,0,0,untestable,reviewed,030694c32c20,Require all columns in the input record; otherwise missing columns are null (text formats).,applicable ruled by Michel 2026-08-16 (applicable review): the token does no file I/O.
InputChannelConfig,memory,EolByte,eol_byte,FileConfig,byte,scalar,-,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:326,no,0,0,untestable,reviewed,eb6fdaed85ea,"EolByte: Byte to use as eol (format: csv,headerless_csv)",applicable ruled by Michel 2026-08-16 (applicable review): the token does no file I/O.
InputChannelConfig,memory,FailOnEmptyColumnName,fail_on_empty_column_name,FileConfig,bool,scalar,-,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:327,no,0,0,untestable,reviewed,3ed6a338ae35,"Fail when a column name is empty (csv), preventing a data row from standing as headers.",applicable ruled by Michel 2026-08-16 (applicable review): the token does no file I/O.
InputChannelConfig,memory,FileKey,file_key,FileConfig,string,scalar,-,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:328,no,0,0,untestable,reviewed,e72ecf24e63d,"S3 object key of the file, or its directory when is_part_files; on output configs this is the output location.",applicable/required ruled by Michel 2026-08-16 (bucket-2 review): the token never reads this field.
InputChannelConfig,memory,LookbackPeriods,lookback_periods,FileConfig,string,scalar,-,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:329,no,0,0,untestable,reviewed,209e128ce927,"Reads earlier source periods when the input is selected by explicit file_key from the stage area: the key is expanded once per period, substituting ${PERIOD_ID}, and the file listings are concatenated. Format: 'N' reads the current period plus N periods back; 'offset:last' reads current-offset back through current-last ('1:1' is the previous period only). Values may reference env vars; ${PERIOD_ID_TYPE} must name the current period id in the env.",applicable ruled by Michel 2026-08-16 (applicable review): the token does no file I/O.
InputChannelConfig,memory,FileName,file_name,FileConfig,string,scalar,-,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:330,no,0,0,untestable,reviewed,717dda5f926b,File name of the output file (type output).,applicable ruled by Michel 2026-08-16 (applicable review): the token does no file I/O.
InputChannelConfig,memory,FixedWidthColumnsCsv,fixed_width_columns_csv,FileConfig,string,scalar,-,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:331,no,0,0,untestable,reviewed,15d22c860fdb,"Column names and offsets for the fixed_width format, as csv text.",applicable ruled by Michel 2026-08-16 (applicable review): the token does no file I/O.
InputChannelConfig,memory,Format,format,FileConfig,string,scalar,-,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:332,no,0,0,untestable,reviewed,817b9c2a8577,"Format: csv, headerless_csv, etc.",applicable/required ruled by Michel 2026-08-16 (bucket-2 review): the token never reads this field.
InputChannelConfig,memory,InputFormatDataJson,input_format_data_json,FileConfig,string,scalar,-,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:333,no,0,0,untestable,reviewed,c15858cc2ab7,"Format-specific reader config as json, eg the sheet name for xlsx.",applicable ruled by Michel 2026-08-16 (applicable review): the token does no file I/O.
InputChannelConfig,memory,IsPartFiles,is_part_files,FileConfig,bool,scalar,-,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:334,no,0,0,untestable,reviewed,ca7d06e762c9,The file key is a directory of part files rather than a single file.,applicable ruled by Michel 2026-08-16 (applicable review): the token does no file I/O.
InputChannelConfig,memory,KeyPrefix,key_prefix,FileConfig,string,scalar,-,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:335,no,0,0,untestable,reviewed,0a3584b11b8a,Key prefix of the output location; defaults to the input file key path.,applicable ruled by Michel 2026-08-16 (applicable review): the token does no file I/O.
InputChannelConfig,memory,MainInputRowCount,main_input_row_count,FileConfig,int64,scalar,-,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:336,no,0,0,untestable,reviewed,a8358ce2bbc5,The total record count of the main input: the sum of input_records_count at step reducing00. start_reducing_cp carries it from step to step and exposes it to When expressions as $MAIN_INPUT_ROW_COUNT.,applicable ruled by Michel 2026-08-16 (applicable review): dead-field candidate - no reader of MainInputRowCount anywhere in jets/ (the live one is StartComputePipesArgs's).
InputChannelConfig,memory,MultiColumnsInput,multi_columns_input,FileConfig,bool,scalar,-,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:337,no,0,0,untestable,reviewed,acdd2943bb10,"MultiColumnsInput: Indicate that input file must have multiple columns, this is used to detect if the wrong delimiter is used (csv,headerless_csv)",applicable ruled by Michel 2026-08-16 (applicable review): the token does no file I/O.
InputChannelConfig,memory,NbrRowsInRecord,nbr_rows_in_record,FileConfig,int64,scalar,-,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:338,no,0,0,untestable,reviewed,396971fb41b9,Nbr of rows in a record (format parquet).,applicable ruled by Michel 2026-08-16 (applicable review): the token does no file I/O.
InputChannelConfig,memory,NoQuotes,no_quotes,FileConfig,bool,scalar,-,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:339,no,0,0,untestable,reviewed,83751d3054bf,"Never quote records on the csv writer, even when a record contains a quote.",applicable ruled by Michel 2026-08-16 (applicable review): the token does no file I/O.
InputChannelConfig,memory,ParquetSchema,parquet_schema,FileConfig,*ParquetSchemaInfo,object,ParquetSchemaInfo,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:340,no,0,0,untestable,reviewed,9b2e9ca6823e,Schema of the parquet file; typically populated by JetStore from the input file.,applicable ruled by Michel 2026-08-16 (applicable review): the token does no file I/O.
InputChannelConfig,memory,PutHeadersOnFirstPartition,put_headers_on_first_partition,FileConfig,bool,scalar,-,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:341,no,0,0,untestable,reviewed,ad170c9fec9f,Write the header line on the first partition file.,applicable ruled by Michel 2026-08-16 (applicable review): the token does no file I/O.
InputChannelConfig,memory,QuoteAllRecords,quote_all_records,FileConfig,bool,scalar,-,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:342,no,0,0,untestable,reviewed,49d674d7c67b,Quote every record on the csv writer.,applicable ruled by Michel 2026-08-16 (applicable review): the token does no file I/O.
InputChannelConfig,memory,ReadBatchSize,read_batch_size,FileConfig,int64,scalar,-,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:343,no,0,0,untestable,reviewed,7af6deeddf5d,ReadBatchSize: nbr of rows to read per record (format: parquet),applicable ruled by Michel 2026-08-16 (applicable review): the token does no file I/O.
InputChannelConfig,memory,ReadDateLayout,read_date_layout,FileConfig,string,scalar,-,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:344,no,0,0,untestable,reviewed,a55d25790ab8,Date layout used to parse dates on read.,applicable ruled by Michel 2026-08-16 (applicable review): the token does no file I/O.
InputChannelConfig,memory,ReorderColumnsOnRead,reorder_columns_on_read,FileConfig,[]int,array,-,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:345,no,0,0,untestable,reviewed,7e8b0d1b6dac,Column positions used to reorder the input columns on read.,applicable ruled by Michel 2026-08-16 (applicable review): the token does no file I/O.
InputChannelConfig,memory,TrimColumns,trim_columns,FileConfig,bool,scalar,-,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:346,no,0,0,untestable,reviewed,95aff188d811,Trim whitespace around column values.,applicable ruled by Michel 2026-08-16 (applicable review): the token does no file I/O.
InputChannelConfig,memory,UseLazyQuotes,use_lazy_quotes,FileConfig,bool,scalar,-,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:347,no,0,0,untestable,reviewed,9860ca6a58b0,Tolerant csv quote handling; see csv.NewReader.,applicable ruled by Michel 2026-08-16 (applicable review): the token does no file I/O.
InputChannelConfig,memory,UseLazyQuotesSpecial,use_lazy_quotes_special,FileConfig,bool,scalar,-,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:348,no,0,0,untestable,reviewed,790f667452e8,Variant of use_lazy_quotes; see csv.NewReader.,applicable ruled by Michel 2026-08-16 (applicable review): the token does no file I/O.
InputChannelConfig,memory,VariableFieldsPerRecord,variable_fields_per_record,FileConfig,bool,scalar,-,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:349,no,0,0,untestable,reviewed,e4e03a83394a,Allow a variable number of fields per record; see csv.NewReader.,applicable ruled by Michel 2026-08-16 (applicable review): the token does no file I/O.
InputChannelConfig,memory,WriteDateLayout,write_date_layout,FileConfig,string,scalar,-,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:350,no,0,0,untestable,reviewed,8e09798d9af7,Date layout used to format dates on write.,applicable ruled by Michel 2026-08-16 (applicable review): the token does no file I/O.
InputChannelConfig,memory,OutputEncoding,output_encoding,FileConfig,string,scalar,-,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:351,no,0,0,untestable,reviewed,77892b5d7d63,Character encoding of the output file.,applicable ruled by Michel 2026-08-16 (applicable review): the token does no file I/O.
InputChannelConfig,memory,OutputEncodingSameAsInput,output_encoding_same_as_input,FileConfig,bool,scalar,-,-,no,na,-,-,none,comment,jets/compute_pipes/pipes_model.go:352,no,0,0,untestable,reviewed,21d149c06628,Use the input file's encoding for the output.,applicable ruled by Michel 2026-08-16 (applicable review): the token does no file I/O.
InputChannelConfig,memory,Type,type,InputChannelConfig,string,scalar,-,-,yes,no,-,memory,validator,validator,jets/compute_pipes/actions_start_common.go:845,no,0,0,pass,reviewed,e43192206c7a,"The channel type. Range: memory (default), input, stage, generator.",-
